,system,ligand,replica,simulation_mbar_espaloma-0.3.1,simulation_mbar_gaff-2.11,simulation_mbar_openff-2.0.0,sample,simulation_dg-c2-gb_espaloma-0.3.1,simulation_dg-c2-gb_gaff-2.11,simulation_dg-c2-gb_openff-2.0.0,simulation_dg-c2-pb_espaloma-0.3.1,simulation_dg-c2-pb_gaff-2.11,simulation_dg-c2-pb_openff-2.0.0,simulation_dg-ie-gb_espaloma-0.3.1,simulation_dg-ie-gb_gaff-2.11,simulation_dg-ie-gb_openff-2.0.0,simulation_dg-ie-pb_espaloma-0.3.1,simulation_dg-ie-pb_gaff-2.11,simulation_dg-ie-pb_openff-2.0.0,simulation_dh-gb_espaloma-0.3.1,simulation_dh-gb_gaff-2.11,simulation_dh-gb_openff-2.0.0,simulation_dh-pb_espaloma-0.3.1,simulation_dh-pb_gaff-2.11,simulation_dh-pb_openff-2.0.0,exp_dG,exp_dG_error,exp_Chen2023,simulation_Chen2023-RBFEP,simulation_Chen2023,simulation_Khalak2021,error_Khalak2021,exp_Khalak2021,exp_error_Khalak2021,exp_Lin2021,simulation_Lin2021,error_Lin2021,exp_Alibay2022,simulation_Alibay2022,exp_Li2019,simulation_mbar_Li2019,simulation_mmpbsa_Li2019,simulation_mmgbsa_Li2019,simulation_Ries2024,error_Ries2024,simulation_Clark2024,error_Clark2024,simulation_Deflorian2020,error_Deflorian2020
10,A2A,4g,1,,,,11,-30.341647599999664,-27.67032914285721,-32.004485828571106,-16.309419047618665,-15.791147619047596,-21.74495714285677,-36.88932259999967,-30.59935414285721,-37.29646082857111,-22.857094047618663,-18.720172619047595,-27.036932142856767,-39.727447599999664,-35.56622914285721,-40.26208582857111,-25.695219047618664,-23.6870476190476,-30.00255714285677,,,,,,,,,,,,,,,,,,,,,,,,
11,A2A,4g,1,,,,12,-29.09651842285717,-30.643967470476404,-34.14940040380957,-16.07311904761906,-17.805119047619304,-25.112347619047664,-32.89329342285717,-33.5056424704764,-36.89935040380957,-19.869894047619056,-20.666794047619305,-27.862297619047663,-38.29391842285717,-36.073767470476405,-39.65810040380957,-25.270519047619057,-23.234919047619304,-30.621047619047665,,,,,,,,,,,,,,,,,,,,,,,,
12,A2A,4g,1,,,,13,-29.954446617142857,-28.03199201523851,-31.01201654095212,-15.493223809523746,-18.28798095238128,-20.169280952380745,-37.73557161714286,-32.80886701523851,-35.58564154095212,-23.274348809523747,-23.06485595238128,-24.742905952380745,-40.68994661714286,-36.23949201523851,-39.83001654095212,-26.228723809523743,-26.49548095238128,-28.987280952380747,,,,,,,,,,,,,,,,,,,,,,,,
13,A2A,4g,1,,,,14,-30.758079961904592,-32.15286265904701,-32.69071759238113,-16.549895238095097,-21.65655238095184,-19.28653809523832,-34.9592299619046,-33.39286265904701,-35.481367592381126,-20.7510452380951,-22.89655238095184,-22.07718809523832,-38.587979961904594,-37.35536265904701,-38.90761759238113,-24.3797952380951,-26.85905238095184,-25.50343809523832,,,,,,,,,,,,,,,,,,,,,,,,
14,A2A,4g,1,,,,15,-32.66592986285682,-29.949762685714816,-35.808175180952745,-19.696314285713967,-18.9462190476196,-25.445395238095557,-37.61230486285682,-34.007737685714815,-37.08695018095275,-24.642689285713967,-23.004194047619603,-26.724170238095557,-39.32792986285682,-36.625862685714814,-40.65757518095275,-26.358314285713966,-25.6223190476196,-30.294795238095556,,,,,,,,,,,,,,,,,,,,,,,,
15,A2A,4g,1,,,,16,-30.17187964571406,-18.235461409524177,-32.97421838476145,-16.314485714285524,-8.787500000000424,-22.628247619047205,-36.34492964571406,-31.990261409524173,-36.10071838476145,-22.487535714285524,-22.542300000000424,-25.754747619047205,-39.18117964571406,-35.90526140952417,-39.81821838476145,-25.323785714285524,-26.457300000000423,-29.47224761904721,,,,,,,,,,,,,,,,,,,,,,,,
16,A2A,4g,1,,,,17,-27.42738209142889,-24.531157809523965,-32.45852418285685,-15.726057142857387,-14.890314285714346,-21.776966666666468,-36.12595709142889,-30.278207809523963,-37.155324182856845,-24.424632142857387,-20.637364285714348,-26.473766666666467,-40.08658209142889,-35.159457809523964,-40.442824182856846,-28.385257142857387,-25.518614285714342,-29.76126666666647,,,,,,,,,,,,,,,,,,,,,,,,
17,A2A,4g,1,,,,18,-34.66861624761937,-29.277287245714614,-28.989994636190342,-21.7841238095242,-20.85301904761942,-17.515052380952135,-39.76764124761937,-30.769437245714617,-32.474794636190346,-26.8831488095242,-22.34516904761942,-20.99985238095213,-41.12201624761937,-34.515687245714616,-39.43729463619034,-28.2375238095242,-26.09141904761942,-27.962352380952137,,,,,,,,,,,,,,,,,,,,,,,,
18,A2A,4g,1,,,,19,-28.195690815237977,-20.33372086857161,-33.90126242285736,-14.75752380952368,-12.241571428571485,-24.38167142857158,-34.77679081523797,-28.36029586857161,-36.66193742285736,-21.33862380952368,-20.268146428571484,-27.14234642857158,-38.06179081523798,-33.94592086857161,-39.36256242285736,-24.62362380952368,-25.853771428571484,-29.84297142857158,,,,,,,,,,,,,,,,,,,,,,,,
19,A2A,4g,1,,,,20,-26.759523253333075,-26.76507362285743,-28.65000042666673,-12.095642857142664,-18.819952380952667,-18.4281285714286,-33.757898253333074,-31.05104862285743,-36.04967542666673,-19.094017857142664,-23.105927380952664,-25.8278035714286,-38.711023253333074,-33.70917362285743,-40.26030042666673,-24.047142857142664,-25.764052380952663,-30.0384285714286,,,,,,,,,,,,,,,,,,,,,,,,
